Date;Temp.min;Temp.max;Pluie;Pression;Hygrometrie;Temp.int.min;Temp.int.max;Commentaires
04/09/11;18;21;20;16;89;21;25;Grosses pluies
05/09/11;15;20;40;25;80;21;25;
06/09/11;12;22;0;26;62;16;24;
07/09/11;14;21;0;24;67;19;24;
08/09/11;15;23;0;21;68;21;25;
09/09/11;15;27;0;18;68;20;27;
10/09/11;17;29;0;18;60;23;27;
11/09/11;19;25;0;19;65;23;27;
12/09/11;16;25;5;22;63;22;27;
13/09/11;15;26;0;20;66;21;27;
14/09/11;17;20;0;22;73;20;27;
15/09/11;15;24;0;21;61;20;27;
16/09/11;14;26;0;22;70;21;25;
17/09/11;17;19;6;16;90;21;24;
18/09/11;9;16;36;16;82;21;24;1er feu
19/09/11;10;11;13;23;96;17;22;1ere neiges (1800m)
20/09/11;7;16;1;25;69;17;21;
21/09/11;10;19;0;24;71;17;21;
22/09/11;11;20;0;23;71;17;23;
23/09/11;11;21;0;22;70;19;25;
24/09/11;14;21;0;22;70;19;24;
25/09/11;14;21;19;25;70;20;25;
26/09/11;15;21;0;29;69;19;25;
27/09/11;15;22;0;31;69;20;25;
28/09/11;15;23;0;30;57;20;25;
29/09/11;15;28;0;30;59;20;26;
30/09/11;14;20;0;30;65;20;25;
01/10/11;14;22;0;30;66;21;27;
02/10/11;15;21;0;29;66;21;27;
03/10/11;15;22;0;29;67;19;26;
04/10/11;14;21;0;29;68;19;26;
05/10/11;13;21;0;28;70;18;26;
06/10/11;13;19;0;22;77;18;26;
07/10/11;8;14;5;24;75;17;23;
08/10/11;7;11;9;24;90;17;23;
09/10/11;7;12;0;25;85;17;24;
10/10/11;10;13;0;27;91;18;23;
11/10/11;12;16;0;28;83;19;24;
12/10/11;12;23;0;28;79;19;24;
13/10/11;12;16;0;27;70;19;25;
14/10/11;12;20;0;28;76;17;22;
15/10/11;10;15;0;28;68;17;24;
16/10/11;10;15;0;29;71;17;22;
17/10/11;9;15;0;28;66;18;22;
18/10/11;9;15;0;26;59;17;22;
19/10/11;7;14;22;19;93;16;23;
20/10/11;5;10;0;21;70;16;24;
21/10/11;5;10;1;27;72;16;24;
21/10/11;3;17;0;25;66;17;24;
22/10/11;5;12;0;17;65;17;24;
23/10/11;9;15;0;11;63;17;25;
24/10/11;10;12;36;10;82;20;23;
25/10/11;9;12;4;16;73;17;26;
26/10/11;9;15;0;20;60;17;23;
27/10/11;11;15;1;25;73;20;22;
28/10/11;10;15;0;24;73;20;22;
29/10/11;10;15;0;24;73;20;22;
30/10/11;10;15;0;23;73;20;22;
31/10/11;10;16;0;23;73;20;22;
01/11/11;10;16;0;22;65;20;22;
02/11/11;11;16;0;26;62;20;22;
03/11/11;7;16;0;8;50;20;22;
04/11/11;11;16;17;6;89;20;22;
05/11/11;10;16;30;10;90;20;22;
06/11/11;10;12;1;16;80;19;22;
07/11/11;10;13;0;19;71;19;22;
08/11/11;10;11;1;21;74;18;22;
09/11/11;9;12;0;25;65;18;22;
10/11/11;9;11;0;27;65;17;22;
11/11/11;8;11;0;29;65;17;20;
12/11/11;7;11;0;31;65;16;20;
13/11/11;6;11;0;32;65;16;20;
14/11/11;6;8;0;26;66;15;20;
15/11/11;3;8;0;23;63;16;20;
16/11/11;3;8;0;26;58;17;20;
17/11/11;3;8;0;29;55;17;22;
18/11/11;3;8;0;25;58;16;22;
19/11/11;3;12;0;24;68;16;20;
20/11/11;6;10;0;24;65;17;22;
21/11/11;7;10;0;26;71;17;22;
22/11/11;5;10;0;25;69;17;22;
23/11/11;5;8;0;30;75;16;20;
24/11/11;7;11;0;32;85;16;20;
25/11/11;2;6;0;33;72;16;21;
26/11/11;2;5;0;32;79;16;22;
27/11/11;2;7;0;32;70;15;22;
28/11/11;2;4;0;29;79;15;22;
29/11/11;3;10;0;29;70;15;22;
30/11/11;6;10;0;32;71;16;22;
01/12/11;6;11;0;24;52;17;22;
02/12/11;9;14;0.5;23;80;18;22;
03/12/11;9;12;5;22;85;;;
04/12/11;2;11;5;25;90;;;
05/12/11;4;10;20;20;80;;;
06/12/11;5;10;6;22;86;17;22;
07/12/11;4;11;20;27;92;;;
08/12/11;4;14;2;27;81;;;
09/12/11;4;14;0;24;76;;;
10/12/11;4;14;0;21;71;16;22;
11/12/11;4;13;0;19;71;17;21;
12/12/11;1;6;8;24;86;20;;
13/12/11;1;6;3;19;87;;22;
14/12/11;6;8;4;20;65;;;
15/12/11;5;7;1;21;80;20;21;
16/12/11;3;8;13;8;63;;;
17/12/11;1;2;-20;10;90;14;18;
18/12/11;0.5;-1;-10;22;90;14;21;
19/12/11;-3;-2;-10;24;80;11;16;
20/12/11;-2;1;-5;22;92;;;Abscence
21/12/11;-2;2;2;24;90;;;Abscence
22/12/11;-2;2;1;25;88;;;Abscence
23/12/11;-2;3;1;26;86;;;Abscence
24/12/11;-2;4;1;27;84;;;Abscence
25/12/11;-1;5;1;28;80;;;Abscence
26/12/11;-1;3;1;29;78;;;Abscence
27/12/11;-1;6;1;30;76;;;Abscence
28/12/11;-1;7;1;31;74;;;Abscence
29/12/11;-1;8;2;32;71;;;retour
30/12/11;2;5;25;30;95;;;
31/12/11;1;4;20;25;95;;;
01/01/12;2;4;1;24;90;;;
02/01/12;4;6;26;27;92;;;
03/01/12;2;6;0;31;85;;;
04/01/12;-1;4;9;32;87;;;
05/01/12;2;5;27;12;70;;;
