Date;Temp.min;Temp.max;Hygrometrie;Pluie;Pression;Temp.int.min;Temp.int.max;Commentaires
04/09/11;18;21;89;20;16;21;25;Grosses pluies
05/09/11;15;20;80;40;25;21;25;
06/09/11;12;22;62;0;26;16;24;
07/09/11;14;21;67;0;24;19;24;
08/09/11;15;23;68;0;21;21;25;
09/09/11;15;27;68;0;18;20;27;
10/09/11;17;29;60;0;18;23;27;
11/09/11;19;25;65;0;19;23;27;
12/09/11;16;25;63;5;22;22;27;
13/09/11;15;26;66;0;20;21;27;
14/09/11;17;20;73;0;22;20;27;
15/09/11;15;24;61;0;21;20;27;
16/09/11;14;26;70;0;22;21;25;
17/09/11;17;19;90;6;16;21;24;
18/09/11;9;16;82;36;16;21;24;1er feu
19/09/11;10;11;96;13;23;17;22;1ere neiges (1800m)
20/09/11;7;16;69;1;25;17;21;
21/09/11;10;19;71;0;24;17;21;
22/09/11;11;20;71;0;23;17;23;
23/09/11;11;21;70;0;22;19;25;
24/09/11;14;21;70;0;22;19;24;
25/09/11;14;21;70;19;25;20;25;
26/09/11;15;21;69;0;29;19;25;
27/09/11;15;22;69;0;31;20;25;
28/09/11;15;23;57;0;30;20;25;
29/09/11;15;28;59;0;30;20;26;
30/09/11;14;20;65;0;30;20;25;
01/10/11;14;22;66;0;30;21;27;
02/10/11;15;21;66;0;29;21;27;
03/10/11;15;22;67;0;29;19;26;
04/10/11;14;21;68;0;29;19;26;
05/10/11;13;21;70;0;28;18;26;
06/10/11;13;19;77;0;22;18;26;
07/10/11;8;14;75;5;24;17;23;
08/10/11;7;11;90;9;24;17;23;
09/10/11;7;12;85;0;25;17;24;
10/10/11;10;13;91;0;27;18;23;
11/10/11;12;16;83;0;28;19;24;
12/10/11;12;23;79;0;28;19;24;
13/10/11;12;16;70;0;27;19;25;
14/10/11;12;20;76;0;28;17;22;
15/10/11;10;15;68;0;28;17;24;
16/10/11;10;15;71;0;29;17;22;
17/10/11;9;15;66;0;28;18;22;
18/10/11;9;15;59;0;26;17;22;
19/10/11;7;14;93;22;19;16;23;
20/10/11;5;10;70;0;21;16;24;
21/10/11;3;17;66;0;25;17;24;Quak here
22/10/11;5;12;65;0;17;17;24;
23/10/11;9;15;63;0;11;17;25;
24/10/11;10;12;82;36;10;20;23;
25/10/11;9;12;73;4;16;17;26;
26/10/11;9;15;60;0;20;17;23;
