"Date";"Temp.min";"Temp.max";"Hygrometrie";"Pluie";"Pression";;;
09/05/02;27;30;;0;1012;;;
10/05/02;25;31;;0;1011;;;
11/05/02;26;31;;0;1011;;;
12/05/02;26;30;;1;1012;;;
13/05/02;27;31;;4.5;1013;;;
14/05/02;27;31;;5;1013;;;
15/05/02;28;31;;0;1012;;;
16/05/02;27;31;;4.5;1011;;;
17/05/02;25;30;;9;1013;;;
18/05/02;25;29;;56;1013;;;
19/05/02;24;29;;80;1013;;;
20/05/02;24;30;;49;1013;;;
21/05/02;25;31;;17;1013;;;
22/05/02;27;31;;4;1012;;;
23/05/02;28;31;;0;1010;;;
24/05/02;27;31;;6;1011;;;
25/05/02;25;31;;1;1013;;;
26/05/02;25;31;;0;1013;;;
27/05/02;26;31;;0;1011;;;
28/05/02;27;31;;18;1011;;;
29/05/02;27;29;;23;1011;;;
30/05/02;24;29;;23;1012;;;
31/05/02;24;31;;2;1011;;;
01/06/02;27;31;;1;1012;;;
02/06/02;27;31;;0;1012;;;
03/06/02;25;31;;11;1013;;;
04/06/02;26;31;;6;1012;;;
05/06/02;25;31;;19;1013;;;
06/06/02;25;30;;31;1013;;;
07/06/02;25;27;;20;1012;;;
08/06/02;26;31;79;2;1010;;;
09/06/02;26;31;80;8;1011;;;
10/06/02;25;31;82;15;1012;;;
11/06/02;24;31;80;12;1011;;;
12/06/02;25;31;79;1;1011;;;
13/06/02;28;31;86;0;1012;;;
14/06/02;24;31;78;20;1012;;;
15/06/02;25;31;85;1;1010;;;
16/06/02;27;30;75;0;1011;;;
17/06/02;27;31;71;6;1013;;;
18/06/02;27;30;79;1;1013;;;
19/06/02;27;31;78;1;1011;;;
20/06/02;27;31;75;3;1012;;;
21/06/02;27;31;78;1;1012;;;
22/06/02;27;31;74;2;1012;;;
23/06/02;27;31;75;1;1010;;;
24/06/02;25;31;76;11;1011;;;
25/06/02;26;31;77;1;1011;;;
26/06/02;27;31;75;0;1014;;;
27/06/02;24;30;82;13;1014;;;
28/06/02;25;31;89;60;1013;;;
29/06/02;24;29;80;49;1013;;;
30/06/02;24;30;78;52;1013;;;
01/07/02;25;27;81;30;1013;;;
02/07/02;24;27;81;51;1012;;;
03/07/02;27;31;79;1;1011;;;
04/07/02;26;31;77;0;1012;;;
05/07/02;26;31;76;1;1013;;;
06/07/02;26;30;79;0;1013;;;
07/07/02;25;31;79;0;1014;;;
08/07/02;25;30;80;19;1013;;;
09/07/02;24;31;73;4;1014;;;
10/07/02;25;30;76;13;1015;;;
11/07/02;26;30;75;1;1014;;;
12/07/02;26;30;74;0;1014;;;
13/07/02;26;30;74;1;1015;;;
14/07/02;26;30;75;0;1015;;;
15/07/02;27;30;77;0;1015;;;
16/07/02;26;30;76;0;1014;;;
17/07/02;27;30;77;0;1014;;;
18/07/02;27;30;78;1;1014;;;
19/07/02;27;30;77;0;1013;;;
20/07/02;25;30;82;35;1015;;;
21/07/02;26;30;74;0;1014;;;
22/07/02;27;31;74;1;1014;;;
23/07/02;26;30;79;3;1014;;;
24/07/02;24;30;79;13;1014;;;
25/07/02;24;28;80;30;1015;;;
26/07/02;24;27;81;14;1014;;;
27/07/02;25;30;79;1;1014;;;
28/07/02;27;30;79;3;1015;;;
29/07/02;27;30;74;1;1014;;;
30/07/02;24;29;80;20;1015;;;
31/07/02;25;30;77;23;1015;;;
01/08/02;25;30;77;1;1014;;;
02/08/02;24;30;73;3;1013;;;
03/08/02;25;30;77;2;1013;;;
04/08/02;27;30;76;1;1014;;;
05/08/02;26;31;76;1;1015;;;
06/08/02;27;30;75;0;1014;;;
07/08/02;26;30;70;3;1014;;;
08/08/02;27;30;68;0;1015;;;
09/08/02;26;30;72;3;1015;;;
10/08/02;27;30;72;0;1015;;;
11/08/02;26;30;66;1;1016;;;
12/08/02;24;30;75;1;1015;;;
13/08/02;24;29;75;14;1015;;;
14/08/02;26;29;78;62;1016;;;
15/08/02;25;30;77;6;1017;;;
16/08/02;24;30;75;4;1017;;;
17/08/02;26;28;75;2;1016;;;
