Date;Temp.min;Temp.max;Hygrometrie;Pluie;Pression;Temp.int.min;Temp.int.max;Commentaires
01/03/12;;;;;;;;déménagement
02/03/12;;;;;;;;déménagement
03/03/12;;;;;;;;déménagement
04/03/12;;;;;;;;déménagement
05/03/12;5;22;52;5;;;;
06/03/12;3;5;62;0;26;;;
07/03/12;0;8;62;0;30;;;
08/03/12;4;10;56;2;35;;;
09/03/12;0;15;51;0;36;;;
10/03/12;;;;;;;;
11/03/12;0;17;52;0;32;;;
12/03/12;;;;;;;;
13/03/12;3;19;68;0;32;;;
14/03/12;3;23;74;0;33;;;
15/03/12;4;23;82;0;33;;;
16/03/12;;;;;;;;
17/03/12;;;;;;;;
18/03/12;5;21;90;20;32;;;
19/03/12;5;15;81;1;36;;;
20/03/12;3;19;70;0;37;;;
21/03/12;6;21;69;0;35;;;
22/03/12;7;20;65;0;32;;;
23/03/12;10;24;60;0;30;;;
24/03/12;11;26;61;0;30;;;
25/03/12;6;24;60;0;30;;;
26/03/12;7;23;62;0;32;;;
27/03/12;;;;;;;;
28/03/12;6;25;50;0;30;;;
29/03/12;7;25;44;0;21;;;
30/03/12;12;25;50;0;17;;;
31/03/12;7;26;75;0;15;;;
01/04/12;10;22;75;0;15;;;
02/04/12;7;21;49;0;9;;;
03/04/12;11;22;54;0.5;9;;;
04/04/12;12;19;79;4;10;;;
05/04/12;12;18;74;4;12;;;
06/04/12;10;22;82;2;11;;;
07/04/12;9;20;80;3;9;;;
08/04/12;;;;;;;;
09/04/12;;;;;;;;
10/04/12;;;;;;;;
11/04/12;;;;;;;;
12/04/12;9;12;75;2;6;;;
13/04/12;;;;;;;;
14/04/12;;;;;;;;
15/04/12;6;11;81;15;6;;;
16/04/12;7;10;70;1;16;;;
17/04/12;6;14;77;0;11;;;
18/04/12;7;21;60;2;0;;;
19/04/12;8;21;81;11;1;;;
20/04/12;6;26;67;6;8;;;
21/04/12;9;20;72;3;12;;;
22/04/12;7;20;66;5;15;;;
23/04/12;7;21;72;2;9;;;
24/04/12;8;11;82;9;14;;;
25/04/12;6;16;40;0;9;;;
26/04/12;20;25;35;0;14;;;
27/04/12;12;30;75;0;31;;;
28/04/12;16;30;48;0;9;;;
29/04/12;16;24;34;0;13;;;
30/04/12;10;20;82;14;16;;;
01/05/12;7;25;70;0;17;;;
02/05/12;10;24;85;6;20;;;
03/05/12;10;26;70;0;13;;;
04/05/12;10;30;74;1;10;;;
05/05/12;12;25;85;7;11;;;
06/05/12;11;26;70;6;16;;;
07/05/12;9;27;65;0;22;;;
08/05/12;9;21;77;1;22;;;
09/05/12;14;24;74;1;25;;;
10/05/12;14;33;71;0;29;;;lourd
11/05/12;15;34;68;0;30;;;
12/05/12;15;23;68;1;21;;;
13/05/12;13;17;42;0;25;;;
14/05/12;7;22;57;0;19;;;
15/05/12;10;26;57;0.5;24;;;
16/05/12;5;18;67;0;32;;;
17/05/12;7;24;53;0;15;;;
18/05/12;12;21;71;3;16;;;
19/05/12;14;26;70;0;11;;;
20/05/12;11;26;72;1;9;;;
21/05/12;8;15;89;26;8;;;
22/05/12;12;14;87;26;20;;;
23/05/12;12;22;77;0;26;;;
24/05/12;17;26;77;0;25;;;
25/05/12;15;33;80;11;21;;;
26/05/12;15;29;73;0;21;;;
27/05/12;16;22;82;2;22;;;
28/05/12;12;30;60;0;21;;;
29/05/12;12;30;65;0;20;;;
30/05/12;15;32;62;0;24;;;
31/05/12;19;35;61;0;24;;;
01/06/12;15;31;62;0;22;;;
02/06/12;12;36;82;1;19;;;
03/06/12;16;23;90;37;20;;;
04/06/12;14;17;60;5;22;;;
05/06/12;13;30;70;0;21;;;
06/06/12;15;21;75;1;16;;;
07/06/12;16;30;50;1;12;;;
08/06/12;15;24;81;12;22;;;
09/06/12;14;29;75;0;21;;;
10/06/12;14;27;81;4;15;;;
11/06/12;14;28;76;15;12;;;
12/06/12;12;30;94;15;12;;;
13/06/12;13;17;71;4;24;;;
14/06/12;9;29;74;0;24;;;beau!
15/06/12;14;35;67;0;25;;;beau!
16/06/12;15;38;60;0;25;;;chaud
17/06/12;15;37;62;0;22;;;chaud
18/06/12;18;35;70;1;22;;;lourd
19/06/12;17;24;72;0;20;;;
20/06/12;20;26;75;4;16;;;
21/06/12;19;36;74;1;20;;;
22/06/12;17;33;60;0;27;;;
23/06/12;;;;;;;;
24/06/12;17;33;57;0;25;;;
25/06/12;21;26;59;0;24;;;
26/06/12;20;31;59;0;26;;;
27/06/12;20;32;69;0;21;;;
28/06/12;20;38;60;0;16;;;
29/06/12;20;40;54;0;16;;;
30/06/12;19;38;36;0;16;;;
01/07/12;15;29;75;13;15;;;
02/07/12;15;19;81;7;22;;;
03/07/12;16;26;74;0;20;;;
04/07/12;17;32;66;0;16;;;
05/07/12;;;;;;;;prague
06/07/12;;;;;;;;prague
07/07/12;;;;;;;;prague
08/07/12;;;;;;;;prague
09/07/12;;;;;;;;prague
10/07/12;;;;;;;;prague
11/07/12;;;;;;;;prague
12/07/12;;;;;;;;prague
13/07/12;;;;;;;;prague
14/07/12;;;;;;;;prague
15/07/12;;;;;;;;prague
16/07/12;11;30;55;0;30;;;
17/07/12;14;34;49;0;28;;;
18/07/12;16;37;50;0;20;;;
19/07/12;;;;;;;;
20/07/12;15;32;47;0;20;;;
21/07/12;15;27;45;0;20;;;
22/07/12;16;31;36;0;20;;;
23/07/12;13;33;50;0;19;;;
24/07/12;16;36;55;0;15;;;
25/07/12;19;39;46;0;16;;;
26/07/12;20;40;54;0;16;;;
27/07/12;20;40;44;0;12;;;
28/07/12;21;38;70;0;12;;;
